"word1","word2","freq"
"time","take",10
"will","throughout",10
"want","time",10
"work","want",10
"also","able",9
"knowledge","able",9
"take","able",9
"work","able",9
"take","advantage",9
"class","also",9
"ethical","also",9
"important","also",9
"like","also",9
"need","also",9
"provide","also",9
"way","also",9
"knowledge","apply",9
"learn","apply",9
"will","around",9
"patient","aspect",9
"time","balance",9
"knowledge","base",9
"learn","basic",9
"clinic","become",9
"confident","become",9
"grow","become",9
"lab","become",9
"take","become",9
"dental","begin",9
"professional","begin",9
"school","begin",9
"ethic","believe",9
"important","believe",9
"foundation","build",9
"community","can",9
"know","can",9
"one","can",9
"oral","can",9
"provide","can",9
"dentistry","care",9
"ethical","care",9
"future","care",9
"improve","care",9
"hope","career",9
"dental","class",9
"knowledge","class",9
"want","class",9
"skill","clinic",9
"hope","clinical",9
"learn","colleague",9
"relationship","colleague",9
"work","colleague",9
"realize","come",9
"patient","comfortable",9
"good","communication",9
"hope","community",9
"involve","community",9
"participate","community",9
"program","community",9
"provide","community",9
"service","community",9
"feel","competent",9
"good","competent",9
"health","competent",9
"dental","complete",9
"skill","confident",9
"learn","continue",9
"dental","course",9
"ethical","course",9
"first","course",9
"professional","course",9
"will","course",9
"every","day",9
"great","deal",9
"learn","deal",9
"go","dental",9
"help","dental",9
"know","dental",9
"nyucd","dental",9
"order","dental",9
"past","dental",9
"professionalism","dental",9
"ethic","dentist",9
"gain","dentist",9
"general","dentist",9
"get","dentist",9
"think","dentist",9
"need","dentistry",9
"want","develop",9
"knowledge","education",9
"will","end",9
"learn","ethic",9
"professionalism","ethic",9
"will","ethic",9
"honest","ethical",9
"think","ethical",9
"professional","even",9
"learn","excite",9
"year","expect",9
"feel","experience",9
"good","experience",9
"hope","experience",9
"lab","feel",9
"now","feel",9
"skill","feel",9
"first","field",9
"good","field",9
"knowledge","first",9
"patient","first",9
"hope","four",9
"professional","four",9
"student","future",9
"want","future",9
"like","get",9
"professional","give",9
"will","give",9
"professional","go",9
"will","go",9
"hope","goal",9
"personal","goal",9
"great","good",9
"just","good",9
"much","good",9
"nyucd","good",9
"relationship","good",9
"require","good",9
"strong","good",9
"professional","hard",9
"will","hard",9
"time","have",9
"just","health",9
"like","help",9
"one","help",9
"skill","help",9
"hold","high",9
"other","hope",9
"trust","hope",9
"learn","importantly",9
"work","improve",9
"year","improve",9
"will","interact",9
"skill","interpersonal",9
"learn","just",9
"will","keep",9
"knowledge","know",9
"science","knowledge",9
"scientific","knowledge",9
"skill","lab",9
"will","lab",9
"life","learn",9
"mean","learn",9
"trust","learn",9
"understand","learn",9
"way","learn",9
"will","long",9
"professional","look",9
"will","look",9
"professional","many",9
"thing","many",9
"will","mentor",9
"want","much",9
"professional","necessary",9
"york","new",9
"patient","next",9
"school","nyu",9
"opportunity","nyucd",9
"profession","patient",9
"responsibility","patient",9
"set","patient",9
"year","peer",9
"year","people",9
"professional","possible",9
"see","professional",9
"thing","professional",9
"trust","professional",9
"strong","relationship",9
"year","relationship",9
"skill","set",9
"think","skill",9
"will","upon",9
"will","use",9
"professional","ability",8
"skill","ability",8
"will","ability",8
"can","able",8
"care","able",8
"colleague","able",8
"feel","able",8
"make","able",8
"mean","able",8
"require","able",8
"skill","able",8
"goal","achieve",8
"skill","acquire",8
"good","allow",8
"believe","also",8
"community","also",8
"develop","also",8
"feel","also",8
"great","also",8
"know","also",8
"mean","also",8
"nyucd","also",8
"one","also",8
"set","also",8
"time","also",8
"patient","background",8
"learn","balance",8
"professional","base",8
"professional","basic",8
"career","become",8
"class","become",8
"great","become",8
"just","become",8
"like","become",8
"outreach","become",8
"progress","become",8
"first","believe",8
"skill","believe",8
"knowledge","build",8
"upon","build",8
"year","build",8
"field","can",8
"future","can",8
"give","can",8
"have","can",8
"however","can",8
"need","can",8
"now","can",8
"provider","can",8
"treatment","can",8
"trust","can",8
"way","can",8
"goal","care",8
"other","care",8
"take","care",8
"treat","care",8
"work","care",8
"will","cheat",8
"course","class",8
"lab","class",8
"many","class",8
"patient","class",8
"school","class",8
"time","class",8
"enter","clinic",8
"experience","clinic",8
"learn","clinic",8
"dentist","clinical",8
"dentistry","clinical",8
"think","come",8
"want","come",8
"feel","comfortable",8
"skill","communicate",8
"help","community",8
"leader","community",8
"learn","community",8
"nyucd","community",8
"make","competent",8
"next","competent",8
"practitioner","competent",8
"year","confident",8
"develop","continue",8
"feel","course",8
"many","course",8
"work","course",8
"dentist","day",8
"will","decision",8
"education","dental",8
"far","dental",8
"just","dental",8
"need","dental",8
"treat","dental",8
"ethical","dentist",8
"feel","dentist",8
"strive","dentist",8
"practice","dentistry",8
"knowledge","develop",8
"peer","develop",8
"time","develop",8
"ethical","dilemma",8
"face","dilemma",8
"will","education",8
"patient","establish",8
"first","ethic",8
